model,mode,difficulty,n,accuracy,format_ok,truncated,tokens,energy_j,wall_s,n_correct,j_per_token,j_per_correct,tokens_per_correct,tps,tps_per_mw,usd_per_task
granite3-moe:3b,cot,easy,40,0.6,0.625,0.025,7726,2007.2075749999997,125.6725,24,0.2597990648459746,83.63364895833332,321.9166666666667,61.47725238218385,3849128.558614572,0.0026181770833333335
granite3-moe:3b,cot,hard,40,0.15,0.5,0.025,10079,2476.1238179999996,135.2414,6,0.24567157634685977,412.68730299999993,1679.8333333333333,74.52599573799148,4070474.960392309,0.0028175291666666666
granite3-moe:3b,cot,medium,40,0.35,0.7,0.0,7477,1951.6681409999997,124.29429999999999,14,0.26102288899291154,139.4048672142857,534.0714285714286,60.155614537432534,3831081.649039432,0.0025894645833333335
granite3-moe:3b,direct,easy,40,0.25,0.925,0.0,2026,1088.5163389999998,100.8097,10,0.5372736125370187,108.85163389999998,202.6,20.097272385494648,1861249.0482791,0.002100202083333333
granite3-moe:3b,direct,hard,40,0.1,0.8,0.0,6466,1855.0037179999997,120.0114,4,0.28688582090937204,463.7509294999999,1616.5,53.878214902917556,3485707.299266988,0.0025002375
granite3-moe:3b,direct,medium,40,0.075,0.875,0.0,6860,1794.4493229999998,121.4529,3,0.26158153396501455,598.1497743333333,2286.6666666666665,56.48280115172219,3822899.8234017007,0.0025302687499999996
llama3.1:8b,cot,easy,40,0.925,0.75,0.0,6059,8150.528041,217.86430000000001,37,1.3451936030698135,220.28454164864863,163.75675675675674,27.810889622576987,743387.4185232067,0.004538839583333333
llama3.1:8b,cot,hard,40,0.65,0.675,0.0,9375,12315.284470999999,283.9533,26,1.3136303435733332,473.6647873461538,360.5769230769231,33.015992418471626,761249.1633527611,0.005915693750000001
llama3.1:8b,cot,medium,40,0.825,0.7,0.0,8124,10682.440381999999,260.0186,33,1.314923729935992,323.7103146060606,246.1818181818182,31.24391870427731,760500.3828234798,0.005417054166666666
llama3.1:8b,direct,easy,40,0.1,0.925,0.0,327,1455.5413639999997,106.3172,4,4.45119683180428,363.8853409999999,81.75,3.0757017679171383,224658.67895458863,0.0022149416666666665
llama3.1:8b,direct,hard,40,0.05,0.9,0.0,437,1600.4876139999997,107.6922,2,3.6624430526315783,800.2438069999998,218.5,4.057861200718343,273041.78812595305,0.0022435875
llama3.1:8b,direct,medium,40,0.1,0.85,0.05,2371,3852.058663,146.5349,4,1.6246556992830028,963.01466575,592.75,16.180445750466273,615515.029086669,0.003052810416666667
mistral:latest,cot,easy,40,0.725,0.75,0.0,6511,8160.044494999999,211.3885,29,1.2532705413914913,281.3808446551724,224.51724137931035,30.8011079126821,797912.315795528,0.0044039270833333335
